Time,Q1,Q2,T1,T2,TSP1,TSP2
2.177479100227355957e+02,3.796234373787112304e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.187499454021453857e+02,4.724182757115374898e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.197499122619628906e+02,4.725052728283416315e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.207499072551727295e+02,4.725922723927509139e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.217469131946563721e+02,4.726790119094859932e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.546169999999999689e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.228839101791381836e+02,4.727779306471359178e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.240899147987365723e+02,5.860640658732207697e+01,0.000000000000000000e+00,4.963419999999999277e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.254329116344451904e+02,5.068727801118391341e+01,0.000000000000000000e+00,4.963419999999999277e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.265419154167175293e+02,3.875529061483316440e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.278189158439636230e+02,5.836200147220086620e+01,0.000000000000000000e+00,4.963419999999999277e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.288269054889678955e+02,3.798376075996920775e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.298217380046844482e+02,6.059112708904998357e+01,0.000000000000000000e+00,4.963419999999999277e+01,2.546169999999999689e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.308275649547576904e+02,3.804466823379424056e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.318138759136199951e+02,6.075600871455323926e+01,0.000000000000000000e+00,4.963419999999999277e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.328188278675079346e+02,5.102633464127081453e+01,0.000000000000000000e+00,4.963419999999999277e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.338097481727600098e+02,5.109883037080305712e+01,0.000000000000000000e+00,4.963419999999999277e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.348224816322326660e+02,5.117292195069807548e+01,0.000000000000000000e+00,4.963419999999999277e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.361114885807037354e+02,5.126722569904821825e+01,0.000000000000000000e+00,4.963419999999999277e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.375304849147796631e+02,5.137103947084921174e+01,0.000000000000000000e+00,4.963419999999999277e+01,2.546169999999999689e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.390224847793579102e+02,4.168045627877993553e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.546169999999999689e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.400311596393585205e+02,4.816979534095299442e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.546169999999999689e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.410136024951934814e+02,4.817834259379876016e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.420265138149261475e+02,4.818715492228043473e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.546169999999999689e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.430171630382537842e+02,4.819577357052338584e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.440252759456634521e+02,6.108371469401853204e+01,0.000000000000000000e+00,4.963419999999999277e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.454352829456329346e+02,4.142438140696319948e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.473207371234893799e+02,5.677094136371654542e+01,0.000000000000000000e+00,4.963419999999999277e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.483359568119049072e+02,3.890451943804839630e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.494850766658782959e+02,6.014990191718467827e+01,0.000000000000000000e+00,4.963419999999999277e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.504951720237731934e+02,3.894906028487849881e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.514986002445220947e+02,4.853015367432131200e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.524896609783172607e+02,4.853877590270533204e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.534951982498168945e+02,4.854752407696737748e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.544951593875885010e+02,6.151305700729670889e+01,0.000000000000000000e+00,4.963419999999999277e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.554941596984863281e+02,3.895069686992403746e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.564911670684814453e+02,6.162333618910167132e+01,0.000000000000000000e+00,4.963419999999999277e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.575571615695953369e+02,3.964118448602645373e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.585611600875854492e+02,4.872032253496660559e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.546169999999999689e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.601817641258239746e+02,4.873442179009928310e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.613578190803527832e+02,4.874465346820368694e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.628893508911132812e+02,4.875797779495730566e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.639923477172851562e+02,4.876757386734499988e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.649993450641632080e+02,4.877633474426284010e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.660753564834594727e+02,4.878569604361072010e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.546169999999999689e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.670883476734161377e+02,4.879450906696334300e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.546169999999999689e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.680773489475250244e+02,4.880311337804808858e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.690893473625183105e+02,4.881191776425853135e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.546169999999999689e+01,5.000000000000000000e+01,2.094949999999999690e+01
